fid,genus,species,cultivar,dbh,street,park,id,fullname,Site_1,Present,dbh_2025,height2025,Measured,Comments,Measured_height,Measured_DBH
24333,Acer,platanoides,summershade,22,,PÈRE MARQUETTE,"25295",Acer platanoides,MARQ-2,Present,"31.2",13.4,,,true,true
24334,Acer,platanoides,summershade,26,,PÈRE MARQUETTE,"25296",Acer platanoides,MARQ-2,Present,"34.7",13.9,,,true,true
24335,Acer,platanoides,,24,,PÈRE MARQUETTE,"25297",Acer platanoides,MARQ-2,Present,"33",14.5,,,true,true
24336,Acer,saccharinum,,50,,PÈRE MARQUETTE,"25298",Acer saccharinum,MARQ-2,Present,"54.9",14.4,,,true,true
24337,Tilia,cordata,,56,,PÈRE MARQUETTE,"25299",Tilia cordata,MARQ-2,Present,"62.5",19.6,,,true,true
24338,Acer,saccharinum,,63,,PÈRE MARQUETTE,"25300",Acer saccharinum,MARQ-2,Present,"66.7",17.1,,,true,true
24339,Malus,sp.,x royalty,16,,PÈRE MARQUETTE,"25301",Malus sp,MARQ-2,Present,"18.4",6.7,,,true,true
24340,Picea,pungens,glauca,23,,PÈRE MARQUETTE,"25302",Picea pungens,MARQ-2,Present,"29.7",20,,,false,true
24341,Picea,pungens,glauca,26,,PÈRE MARQUETTE,"25303",Picea pungens,MARQ-2,Present,"34.5",20,,,false,true
24342,Acer,platanoides,summershade,30,,PÈRE MARQUETTE,"25304",Acer platanoides,MARQ-2,Present,"39.7",14.9,,,true,true
24343,Acer,platanoides,summershade,29,,PÈRE MARQUETTE,"25305",Acer platanoides,MARQ-2,Present,"36.1",14.9,,,true,true
24344,Acer,saccharum,,24,,PÈRE MARQUETTE,"25306",Acer saccharum,MARQ-2,Present,"30.9",17,,,true,true
24345,Acer,saccharum,,25,,PÈRE MARQUETTE,"25307",Acer saccharum,MARQ-2,Present,"33.7",13.1,,,true,true
24346,Acer,saccharum,,24,,PÈRE MARQUETTE,"25308",Acer saccharum,MARQ-2,Present,"32.05",13.1,,,true,true
24347,Acer,saccharum,,22,,PÈRE MARQUETTE,"25309",Acer saccharum,MARQ-2,Present,"30",12.8,,,true,true
24348,Acer,platanoides,,21,,PÈRE MARQUETTE,"25310",Acer platanoides,MARQ-2,Present,"28.85",9.7,,,true,true
24349,Acer,saccharum,,23,,PÈRE MARQUETTE,"25311",Acer saccharum,MARQ-2,Present,"30.95",13.3,,,true,true
24350,Acer,platanoides,,17,,PÈRE MARQUETTE,"25312",Acer platanoides,MARQ-2,Present,"27.5",11.1,,,true,true
24351,Acer,platanoides,,17,,PÈRE MARQUETTE,"25313",Acer platanoides,MARQ-2,Present,"24.7",9.3,,,true,true
24352,Acer,platanoides,,22,,PÈRE MARQUETTE,"25314",Acer platanoides,MARQ-2,Present,"30.8",12.1,,,true,true
24354,Acer,saccharinum,,62,,PÈRE MARQUETTE,"25316",Acer saccharinum,MARQ-2,Present,"65.7",21.8,,,true,true
24405,Celtis,occidentalis,,24,,PÈRE MARQUETTE,"25367",Celtis occidentalis,MARQ-1,Present,"36.05",16.1,,,true,true
24406,Celtis,occidentalis,,19,,PÈRE MARQUETTE,"25368",Celtis occidentalis,MARQ-1,Present,"31.2",11.4,,,true,true
24407,Celtis,occidentalis,,26,,PÈRE MARQUETTE,"25369",Celtis occidentalis,MARQ-1,Present,"36.2",14.2,,,true,true
24408,Ostrya,virginiana,,5,,PÈRE MARQUETTE,"25370",Ostrya virginiana,MARQ-1,Present,"5",3.8,,,true,true
24409,Tilia,cordata,sheridan,28,,PÈRE MARQUETTE,"25371",Tilia cordata,MARQ-1,Present,"38.3",11.6,,,true,true
24410,Thuja,occidentalis,,5,,PÈRE MARQUETTE,"25372",Thuja occidentalis,MARQ-1,Present,"4.5,3.5,1.5",2.8,,,,true
24411,Quercus,macrocarpa,,6,,PÈRE MARQUETTE,"25373",Quercus macrocarpa,MARQ-1,Present,"14.4",7.2,,,true,true
24412,Pinus,nigra,austriaca,28,,PÈRE MARQUETTE,"25374",Pinus nigra,MARQ-1,Present,"36.2",10.1,,,true,true
24413,Picea,pungens,glauca,18,,PÈRE MARQUETTE,"25375",Picea pungens,MARQ-1,Present,"28.7",10,,,true,true
24414,Picea,pungens,glauca,22,,PÈRE MARQUETTE,"25376",Picea pungens,MARQ-1,Present,"33.9",13.3,,,true,true
24415,Picea,pungens,glauca,17,,PÈRE MARQUETTE,"25377",Picea pungens,MARQ-1,Present,"27.3",10.3,,,true,true
24416,Acer,saccharum,,5,,PÈRE MARQUETTE,"25378",Acer saccharum,MARQ-1,Present,"8.2",5.9,,,true,true
24417,Pinus,nigra,austriaca,33,,PÈRE MARQUETTE,"25379",Pinus nigra,MARQ-1,Present,"40",9,,,false,false
