fid,id,Site,dbh_2025,height2025,Species,Comments,lat,lon,Source,Measured_height,Measured_DBH,species_clean
247,,LOYO-1,"13",5.2,Thuja occidentalis,,,,Unknown ,false,true,Thuja occidentalis
248,,WILF-2,"15.5",6,Leave comment,Aesculus hippocastanum,,,Unknown,true,true,
249,,WILF-2,"8, 5, 6, 5, 4",4,Leave comment,Thuya occidentalis ,,,,false,false,
250,,WILF-2,"8, 8, 5",3.8,Leave comment,Thuya occidentalis,,,Unknown,false,false,
251,,WILF-2,"10,4,4,6,5",4,Leave comment,Thuya occidentalis,,,Unknown,false,false,
252,,WILF-2,"2,4,5,8,4,8",4,Leave comment,Thuya occidentalis ,,,Unknown ,false,false,
253,,WILF-2,"2,2,5,5,7",4,Leave comment,Thuya occidentalis,,,Unknown ,false,false,
254,,WILF-2,"7,7,5,2",4,Leave comment,Thuya occidentalis,,,Unknown,false,false,
255,,WILF-2,"3,1,3,4,3,3,3",2.65,Leave comment,Hydrangea paniculata,,,Unknown ,false,true,
256,,WILF-2,"4,3,2,2,4,2",3,Leave comment,Hydrangea paniculatum,,,Unknown ,false,true,
257,,WILF-2,"3,2,3,3,4,2,3,2,2,2",3,Leave comment,Hydrangea paniculatum,,,Unknown,false,true,
258,,WILF-2,"3,2,3,5,2,2",3.2,,Hydrangea paniculatum ,,,,false,true,
259,,WILF-2,"4,2,4,5,2,3,2",3,Leave comment,Hydrangea paniculatum ,,,Unknown ,false,true,
260,,WILF-2,"3,2,3,4,2,3,2,5,3",3,,Hydrangea paniculatum ,,,,false,true,
261,,WILF-2,"2,1,2,3,2,2",2.5,Leave comment,Hydrangea paniculatum,,,Unknown ,false,true,
262,,WILF-2,"8,3,5,2,1,1",4,Thuja occidentalis,,,,Unknown ,false,false,
263,,WILF-2,"3,10,7,3,2",3.8,Thuja occidentalis,,,,Unknown ,false,false,
264,,WILF-2,"5,5,2,3",3.7,Thuja occidentalis,,,,Unknown ,false,false,
265,,WILF-2,"2,2,3,4,3",2,Leave comment,Hydrangea paniculatum ,,,Unknown ,false,false,
266,,WILF-2,"2,3,3,2",2.5,Leave comment,Hydrangea paniculatum ,,,Unknown ,false,false,
267,,WILF-2,"1,1,2,1,2,2",2.3,,Hydrangea paniculatum ,,,,false,false,
268,,WILF-2,"3,2,2,3,2",2.7,,Hydrangea paniculatum ,,,,false,false,
269,,WILF-2,"2,1,1,1,1,2",2.7,Leave comment,Hydrangea paniculatum ,,,Unknown ,false,false,
270,,WILF-2,"3,3,1,1,2",2.5,Leave comment,Hydrangea paniculatum ,,,,false,false,
271,,WILF-2,"1,1,1,1,1,1",2.3,Leave comment,Hydrangea paniculatum ,,,,false,false,
272,,WILF-2,"2,2,2,1,1,1,2",2.3,,Hydrangea paniculatum ,,,,false,false,
273,,WILF-2,"1,2,2",2,Leave comment,Hydrangea paniculatum ,,,Unknown ,false,false,
274,,WILF-2,"2,1,1,2,2,2,1",2,Leave comment,Hydrangea paniculatum ,,,Unknown ,false,false,
275,,WILF-2,"1,1,1,1,1",2,,Hydrangea paniculatum ,,,,false,false,
276,,WILF-2,"7.6",3.8,Quercus macrocarpa,,,,Unknown,true,true,
