fid,id,Site,dbh_2025,height2025,Species,Comments,lat,lon,Source,Measured_height,Measured_DBH
"334",,ZOTI-2,"10",10,Populus tremuloides,,,,Unknown ,false,false
"335",,ZOTI-2,"3",3.7,Crataegus crus-galli,,,,Unknown ,true,true
"336",,ZOTI-2,"3.5",3.7,Tilia americana,,,,Unknown ,true,true
"337",,ZOTI-2,"3.5",3.7,Leave comment,Salixspp.,,,Unknown ,true,true
"338",,ZOTI-2,"40, 30, 20",12,Acer saccharinum,,,,Unknown ,false,false
"339",,ZOTI-2,"3, 1",3,Fraxinus pennsylvanica,,,,Unknown ,false,false
"340",,ZOTI-2,"7, 7",3.5,Populus tremuloides,,,,Unknown ,false,false
"341",,ZOTI-2,"2",2.75,Populus tremuloides,,,,Unknown ,false,false
"342",,ZOTI-2,"2",2.75,Populus tremuloides,,,,Unknown ,false,false
"343",,ZOTI-2,"2",2,Populus tremuloides,,,,Unknown ,false,false
"344",,ZOTI-2,"4",2.2,Crataegus crus-galli,,,,Unknown ,false,true
"345",,ZOTI-2,"7",7,Populus tremuloides,,,,Unknown ,false,false
